@relation touch-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.unsupervised.attribute.Remove-R11-12

@attribute pressure numeric
@attribute size numeric
@attribute touchmajor numeric
@attribute touchminor numeric
@attribute duration numeric
@attribute flytime numeric
@attribute shake numeric
@attribute orientation numeric
@attribute type numeric
@attribute class {fb58815420addb16,Others}

@data
0.17451,0.078179,133,92,55,200,12.327892,1,1,fb58815420addb16
0.156863,0.054552,99,58,86,466,101.22016,1,1,fb58815420addb16
0.163025,0.052417,96,54.857143,92,70,43.82505,1,1,fb58815420addb16
0.161765,0.055768,89.25,71.25,92,79,14.789058,1,1,fb58815420addb16
0.170868,0.06582,111.42857,78,85,121,29.869457,1,1,fb58815420addb16
0.168067,0.062841,106.28571,74.57143,108,85,10.904747,1,1,fb58815420addb16
0.163725,0.062543,107.25,72.75,95,397,1.248567,1,1,fb58815420addb16
0.163235,0.065931,114,75.75,91,106,20.72246,1,1,fb58815420addb16
0.164706,0.057071,96.75,67.5,92,95,67.19894,1,1,fb58815420addb16
0.166387,0.053311,85.71429,67.71429,81,556,123.633026,1,1,fb58815420addb16
0.157983,0.054502,90,66.85714,88,353,13.275146,1,1,fb58815420addb16
0.173203,0.073315,118,93,76,77,17.393715,1,1,fb58815420addb16
0.169188,0.06165,108,69.42857,81,22,3.62236,1,1,fb58815420addb16
0.171242,0.078874,133,94,62,202,44.801918,1,1,fb58815420addb16
0.169281,0.06845,123,74,90,0,12.483516,1,1,fb58815420addb16
0.164052,0.07123,126,79,88,423,17.489225,1,1,fb58815420addb16
0.166387,0.067904,114,81.42857,81,437,3.95667,1,1,fb58815420addb16
0.173856,0.076095,130,89,66,113,19.411654,1,1,fb58815420addb16
0.176961,0.080785,126.75,105.75,110,60,68.88468,1,1,fb58815420addb16
0.173669,0.080115,129.42857,101.14286,83,96,29.576406,1,1,fb58815420addb16
0.165752,0.063238,112,70,155,133,93.72157,1,1,fb58815420addb16
0.171765,0.065462,108,80.4,47,149,43.421726,1,1,fb58815420addb16
0.159477,0.063238,106,76,22,149,9.530077,1,1,fb58815420addb16
0.171895,0.066366,105,86,80,0,6.344787,1,1,fb58815420addb16
0.169188,0.060161,96,77.14286,73,158,19.950119,1,1,fb58815420addb16
0.169499,0.055131,85.333336,73.333336,120,32,17.803225,1,1,fb58815420addb16
0.164706,0.070101,107.25,94.5,99,88,14.936659,1,1,fb58815420addb16
0.174902,0.078388,136.8,88.8,52,177,22.780039,1,1,fb58815420addb16
0.162092,0.052351,82,68.666664,82,421,4.427613,1,1,fb58815420addb16
0.174728,0.072736,115.333336,94,120,171,42.203484,1,1,fb58815420addb16
0.170588,0.077137,133,89,63,10,8.777618,1,1,fb58815420addb16
0.172549,0.075573,117,100.5,97,125,75.216934,1,1,fb58815420addb16
0.165577,0.063007,103.333336,78,118,503,46.23282,1,1,fb58815420addb16
0.168067,0.06165,106.28571,71.14286,80,233,55.520943,1,1,fb58815420addb16
0.163725,0.058634,99,69.75,91,89,10.924108,1,1,fb58815420addb16
0.166013,0.04934,78,64,89,72,45.66994,1,1,fb58815420addb16
0.166013,0.047255,79,57,90,80,28.889555,1,1,fb58815420addb16
0.168326,0.070241,118.61539,83.53846,147,829,13.505984,1,1,fb58815420addb16
0.172269,0.076541,119.14286,101.14286,151,114,29.875927,1,1,fb58815420addb16
0.176471,0.06984,110,91,73,114,17.102665,1,1,fb58815420addb16
0.172549,0.070883,113,91,85,0,8.248722,1,1,fb58815420addb16
0.165196,0.076355,129.75,90,91,157,73.65211,1,1,fb58815420addb16
0.180392,0.0822,123.42857,113.14286,75,113,14.482314,1,1,fb58815420addb16
0.175163,0.070535,110,93,73,156,85.100235,1,1,fb58815420addb16
